0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
0,1
14,1
20,1
0,2
1,2
2,2
3,2
4,2
5,2
6,2
8,2
9,2
10,2
12,2
13,2
14,2
16,2
17,2
18,2
20,2
0,3
6,3
10,3
16,3
20,3
0,4
2,4
4,4
5,4
6,4
8,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,4
18,4
20,4
0,5
2,5
6,5
8,5
14,5
16,5
20,5
0,6
2,6
3,6
4,6
6,6
7,6
8,6
9,6
10,6
11,6
12,6
14,6
16,6
18,6
19,6
20,6
0,7
4,7
10,7
12,7
14,7
16,7
20,7
0,8
1,8
2,8
4,8
5,8
6,8
8,8
10,8
12,8
14,8
16,8
18,8
20,8
0,9
6,9
8,9
14,9
18,9
20,9
0,10
2,10
3,10
4,10
5,10
6,10
8,10
9,10
10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,10
18,10
20,10
0,11
2,11
6,11
12,11
20,11
0,12
2,12
3,12
4,12
6,12
8,12
9,12
10,12
12,12
14,12
15,12
16,12
17,12
18,12
20,12
0,13
6,13
8,13
12,13
16,13
20,13
0,14
2,14
3,14
4,14
5,14
6,14
7,14
8,14
10,14
11,14
12,14
13,14
14,14
16,14
18,14
19,14
20,14
0,15
2,15
10,15
14,15
16,15
18,15
20,15
0,16
2,16
4,16
5,16
6,16
7,16
8,16
9,16
10,16
12,16
14,16
15,16
16,16
18,16
20,16
0,17
2,17
8,17
12,17
14,17
18,17
20,17
0,18
2,18
4,18
5,18
6,18
7,18
8,18
10,18
11,18
12,18
14,18
16,18
17,18
18,18
20,18
0,19
2,19
10,19
14,19
20,19
0,20
1,20
2,20
3,20
4,20
5,20
6,20
7,20
8,20
9,20
10,20
12,20
13,20
14,20
15,20
16,20
17,20
18,20
19,20
20,20
